index,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
46,1852-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
47,1852-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
48,1853-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
49,1853-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
50,1853-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
51,1853-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
52,1853-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
53,1853-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
54,1853-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
55,1853-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
56,1853-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
57,1853-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
58,1853-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
59,1853-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
60,1854-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
61,1854-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
62,1854-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
63,1854-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
64,1854-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
65,1854-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
66,1854-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
67,1854-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
68,1854-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
69,1854-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
70,1854-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
71,1854-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
72,1855-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
73,1855-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
74,1855-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
75,1855-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
76,1855-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
77,1855-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
78,1855-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
79,1855-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
80,1855-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
81,1855-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
82,1855-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
83,1855-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
84,1856-01-01,26.689,1.27,Abidjan,Côte D'Ivoire,5.63N,3.23W
85,1856-02-01,26.597,1.7719999999999998,Abidjan,Côte D'Ivoire,5.63N,3.23W
86,1856-03-01,27.297,1.071,Abidjan,Côte D'Ivoire,5.63N,3.23W
87,1856-04-01,26.998,1.199,Abidjan,Côte D'Ivoire,5.63N,3.23W
88,1856-05-01,26.052,1.526,Abidjan,Côte D'Ivoire,5.63N,3.23W
89,1856-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
90,1856-07-01,24.031,1.274,Abidjan,Côte D'Ivoire,5.63N,3.23W
91,1856-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
92,1856-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
93,1856-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
94,1856-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
95,1856-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
96,1857-01-01,26.549000000000003,1.749,Abidjan,Côte D'Ivoire,5.63N,3.23W
97,1857-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
98,1857-03-01,27.299,1.263,Abidjan,Côte D'Ivoire,5.63N,3.23W
99,1857-04-01,26.06900000000001,1.206,Abidjan,Côte D'Ivoire,5.63N,3.23W
100,1857-05-01,25.256,1.213,Abidjan,Côte D'Ivoire,5.63N,3.23W
101,1857-06-01,24.358,1.161,Abidjan,Côte D'Ivoire,5.63N,3.23W
102,1857-07-01,24.09,1.257,Abidjan,Côte D'Ivoire,5.63N,3.23W
103,1857-08-01,23.264,1.274,Abidjan,Côte D'Ivoire,5.63N,3.23W
104,1857-09-01,23.71,1.218,Abidjan,Côte D'Ivoire,5.63N,3.23W
105,1857-10-01,24.577,1.227,Abidjan,Côte D'Ivoire,5.63N,3.23W
106,1857-11-01,25.778,1.158,Abidjan,Côte D'Ivoire,5.63N,3.23W
107,1857-12-01,25.91,1.388,Abidjan,Côte D'Ivoire,5.63N,3.23W
108,1858-01-01,26.454,1.964,Abidjan,Côte D'Ivoire,5.63N,3.23W
109,1858-02-01,26.783,1.2009999999999998,Abidjan,Côte D'Ivoire,5.63N,3.23W
110,1858-03-01,27.285,1.236,Abidjan,Côte D'Ivoire,5.63N,3.23W
111,1858-04-01,27.161,1.27,Abidjan,Côte D'Ivoire,5.63N,3.23W
112,1858-05-01,25.925,1.235,Abidjan,Côte D'Ivoire,5.63N,3.23W
113,1858-06-01,25.014,1.253,Abidjan,Côte D'Ivoire,5.63N,3.23W
114,1858-07-01,23.531,1.16,Abidjan,Côte D'Ivoire,5.63N,3.23W
115,1858-08-01,23.475,1.325,Abidjan,Côte D'Ivoire,5.63N,3.23W
116,1858-09-01,23.712,1.166,Abidjan,Côte D'Ivoire,5.63N,3.23W
117,1858-10-01,25.17,1.198,Abidjan,Côte D'Ivoire,5.63N,3.23W
118,1858-11-01,26.417,1.279,Abidjan,Côte D'Ivoire,5.63N,3.23W
119,1858-12-01,24.914,1.824,Abidjan,Côte D'Ivoire,5.63N,3.23W
120,1859-01-01,26.176,1.514,Abidjan,Côte D'Ivoire,5.63N,3.23W
121,1859-02-01,27.094,1.445,Abidjan,Côte D'Ivoire,5.63N,3.23W
122,1859-03-01,28.034,1.2990000000000002,Abidjan,Côte D'Ivoire,5.63N,3.23W
123,1859-04-01,28.273000000000003,1.419,Abidjan,Côte D'Ivoire,5.63N,3.23W
124,1859-05-01,27.137,1.5759999999999998,Abidjan,Côte D'Ivoire,5.63N,3.23W
125,1859-06-01,25.361,1.32,Abidjan,Côte D'Ivoire,5.63N,3.23W
126,1859-07-01,23.975,1.264,Abidjan,Côte D'Ivoire,5.63N,3.23W
127,1859-08-01,23.515,1.272,Abidjan,Côte D'Ivoire,5.63N,3.23W
128,1859-09-01,23.785,1.199,Abidjan,Côte D'Ivoire,5.63N,3.23W
129,1859-10-01,25.31600000000001,1.304,Abidjan,Côte D'Ivoire,5.63N,3.23W
130,1859-11-01,26.163,1.389,Abidjan,Côte D'Ivoire,5.63N,3.23W
131,1859-12-01,26.222,1.587,Abidjan,Côte D'Ivoire,5.63N,3.23W
132,1860-01-01,26.532,1.372,Abidjan,Côte D'Ivoire,5.63N,3.23W
133,1860-02-01,27.19,1.295,Abidjan,Côte D'Ivoire,5.63N,3.23W
134,1860-03-01,26.825,1.278,Abidjan,Côte D'Ivoire,5.63N,3.23W
135,1860-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
136,1860-05-01,26.11,1.158,Abidjan,Côte D'Ivoire,5.63N,3.23W
137,1860-06-01,25.404,1.196,Abidjan,Côte D'Ivoire,5.63N,3.23W
138,1860-07-01,24.275,1.217,Abidjan,Côte D'Ivoire,5.63N,3.23W
139,1860-08-01,23.96,1.2819999999999998,Abidjan,Côte D'Ivoire,5.63N,3.23W
140,1860-09-01,24.52,1.175,Abidjan,Côte D'Ivoire,5.63N,3.23W
141,1860-10-01,25.158,1.123,Abidjan,Côte D'Ivoire,5.63N,3.23W
142,1860-11-01,25.324,1.146,Abidjan,Côte D'Ivoire,5.63N,3.23W
143,1860-12-01,24.81,1.329,Abidjan,Côte D'Ivoire,5.63N,3.23W
144,1861-01-01,25.189,1.648,Abidjan,Côte D'Ivoire,5.63N,3.23W
145,1861-02-01,26.443,1.402,Abidjan,Côte D'Ivoire,5.63N,3.23W
146,1861-03-01,27.542,1.224,Abidjan,Côte D'Ivoire,5.63N,3.23W
147,1861-04-01,27.034,1.288,Abidjan,Côte D'Ivoire,5.63N,3.23W
148,1861-05-01,25.984,1.211,Abidjan,Côte D'Ivoire,5.63N,3.23W
149,1861-06-01,25.176,1.426,Abidjan,Côte D'Ivoire,5.63N,3.23W
150,1861-07-01,24.084,1.317,Abidjan,Côte D'Ivoire,5.63N,3.23W
151,1861-08-01,23.648000000000003,1.253,Abidjan,Côte D'Ivoire,5.63N,3.23W
152,1861-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
153,1861-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
154,1861-11-01,25.762,1.476,Abidjan,Côte D'Ivoire,5.63N,3.23W
155,1861-12-01,25.856,1.656,Abidjan,Côte D'Ivoire,5.63N,3.23W
156,1862-01-01,25.427,1.396,Abidjan,Côte D'Ivoire,5.63N,3.23W
157,1862-02-01,26.064,1.339,Abidjan,Côte D'Ivoire,5.63N,3.23W
158,1862-03-01,27.177,1.527,Abidjan,Côte D'Ivoire,5.63N,3.23W
159,1862-04-01,26.656,1.554,Abidjan,Côte D'Ivoire,5.63N,3.23W
160,1862-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
161,1862-06-01,24.912,1.435,Abidjan,Côte D'Ivoire,5.63N,3.23W
162,1862-07-01,24.211,1.376,Abidjan,Côte D'Ivoire,5.63N,3.23W
163,1862-08-01,23.681,1.509,Abidjan,Côte D'Ivoire,5.63N,3.23W
164,1862-09-01,23.987,1.436,Abidjan,Côte D'Ivoire,5.63N,3.23W
165,1862-10-01,24.933000000000003,1.367,Abidjan,Côte D'Ivoire,5.63N,3.23W
166,1862-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
167,1862-12-01,24.687,1.4480000000000002,Abidjan,Côte D'Ivoire,5.63N,3.23W
168,1863-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
169,1863-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
170,1863-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
171,1863-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
172,1863-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
173,1863-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
174,1863-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
175,1863-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
176,1863-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
177,1863-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
178,1863-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
179,1863-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
180,1864-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
181,1864-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
182,1864-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
183,1864-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
184,1864-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
185,1864-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
186,1864-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
187,1864-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
188,1864-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
189,1864-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
190,1864-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
191,1864-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
192,1865-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
193,1865-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
194,1865-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
195,1865-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
196,1865-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
197,1865-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
198,1865-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
199,1865-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
200,1865-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
201,1865-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
202,1865-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
203,1865-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
204,1866-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
205,1866-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
206,1866-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
207,1866-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
208,1866-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
209,1866-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
210,1866-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
211,1866-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
212,1866-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
213,1866-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
214,1866-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
215,1866-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
216,1867-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
217,1867-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
218,1867-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
219,1867-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
220,1867-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
221,1867-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
222,1867-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
223,1867-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
224,1867-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
225,1867-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
226,1867-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
227,1867-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
228,1868-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
229,1868-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
230,1868-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
231,1868-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
232,1868-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
233,1868-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
234,1868-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
235,1868-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
236,1868-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
237,1868-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
238,1868-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
239,1868-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
240,1869-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
241,1869-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
242,1869-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
243,1869-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
244,1869-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
245,1869-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
246,1869-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
247,1869-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
248,1869-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
249,1869-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
250,1869-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
251,1869-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
252,1870-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
253,1870-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
254,1870-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
255,1870-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
256,1870-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
257,1870-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
258,1870-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
259,1870-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
260,1870-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
261,1870-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
262,1870-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
263,1870-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
264,1871-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
265,1871-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
266,1871-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
267,1871-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
268,1871-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
269,1871-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
270,1871-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
271,1871-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
272,1871-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
273,1871-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
274,1871-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
275,1871-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
276,1872-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
277,1872-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
278,1872-03-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
279,1872-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
280,1872-05-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
281,1872-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
282,1872-07-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
283,1872-08-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
284,1872-09-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
285,1872-10-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
286,1872-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
287,1872-12-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
288,1873-01-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
289,1873-02-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
290,1873-03-01,27.658,1.245,Abidjan,Côte D'Ivoire,5.63N,3.23W
291,1873-04-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
292,1873-05-01,26.526,1.1740000000000002,Abidjan,Côte D'Ivoire,5.63N,3.23W
293,1873-06-01,25.815,1.271,Abidjan,Côte D'Ivoire,5.63N,3.23W
294,1873-07-01,24.645,1.133,Abidjan,Côte D'Ivoire,5.63N,3.23W
295,1873-08-01,24.116,1.06,Abidjan,Côte D'Ivoire,5.63N,3.23W
296,1873-09-01,24.689,1.3259999999999998,Abidjan,Côte D'Ivoire,5.63N,3.23W
297,1873-10-01,25.158,1.006,Abidjan,Côte D'Ivoire,5.63N,3.23W
298,1873-11-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
299,1873-12-01,26.341,1.074,Abidjan,Côte D'Ivoire,5.63N,3.23W
300,1874-01-01,26.501,1.629,Abidjan,Côte D'Ivoire,5.63N,3.23W
301,1874-02-01,27.216,1.18,Abidjan,Côte D'Ivoire,5.63N,3.23W
302,1874-03-01,27.022,1.4,Abidjan,Côte D'Ivoire,5.63N,3.23W
303,1874-04-01,27.298,1.014,Abidjan,Côte D'Ivoire,5.63N,3.23W
304,1874-05-01,25.925,1.15,Abidjan,Côte D'Ivoire,5.63N,3.23W
305,1874-06-01,,,Abidjan,Côte D'Ivoire,5.63N,3.23W
306,1874-07-01,23.974,1.022,Abidjan,Côte D'Ivoire,5.63N,3.23W
307,1874-08-01,23.546,1.145,Abidjan,Côte D'Ivoire,5.63N,3.23W
308,1874-09-01,24.491,0.924,Abidjan,Côte D'Ivoire,5.63N,3.23W
309,1874-10-01,25.103,1.304,Abidjan,Côte D'Ivoire,5.63N,3.23W
310,1874-11-01,25.643,1.32,Abidjan,Côte D'Ivoire,5.63N,3.23W
311,1874-12-01,25.781,1.356,Abidjan,Côte D'Ivoire,5.63N,3.23W
312,1875-01-01,25.56600000000001,1.213,Abidjan,Côte D'Ivoire,5.63N,3.23W
313,1875-02-01,26.84,1.018,Abidjan,Côte D'Ivoire,5.63N,3.23W
314,1875-03-01,27.147,0.931,Abidjan,Côte D'Ivoire,5.63N,3.23W
315,1875-04-01,26.767,0.929,Abidjan,Côte D'Ivoire,5.63N,3.23W
316,1875-05-01,25.889,0.809,Abidjan,Côte D'Ivoire,5.63N,3.23W
317,1875-06-01,24.916,0.893,Abidjan,Côte D'Ivoire,5.63N,3.23W
318,1875-07-01,23.711,1.3,Abidjan,Côte D'Ivoire,5.63N,3.23W
319,1875-08-01,23.32,0.989,Abidjan,Côte D'Ivoire,5.63N,3.23W
320,1875-09-01,23.907,0.823,Abidjan,Côte D'Ivoire,5.63N,3.23W
321,1875-10-01,24.725,0.8740000000000001,Abidjan,Côte D'Ivoire,5.63N,3.23W
322,1875-11-01,25.026,0.7879999999999999,Abidjan,Côte D'Ivoire,5.63N,3.23W
323,1875-12-01,25.16,1.11,Abidjan,Côte D'Ivoire,5.63N,3.23W
324,1876-01-01,25.608,1.357,Abidjan,Côte D'Ivoire,5.63N,3.23W
325,1876-02-01,26.391,1.608,Abidjan,Côte D'Ivoire,5.63N,3.23W
326,1876-03-01,27.006,1.453,Abidjan,Côte D'Ivoire,5.63N,3.23W
327,1876-04-01,26.385,2.202,Abidjan,Côte D'Ivoire,5.63N,3.23W
328,1876-05-01,25.593,0.871,Abidjan,Côte D'Ivoire,5.63N,3.23W
329,1876-06-01,24.919,1.183,Abidjan,Côte D'Ivoire,5.63N,3.23W
330,1876-07-01,23.705,1.64,Abidjan,Côte D'Ivoire,5.63N,3.23W
331,1876-08-01,23.015,1.5830000000000002,Abidjan,Côte D'Ivoire,5.63N,3.23W
332,1876-09-01,23.644,1.324,Abidjan,Côte D'Ivoire,5.63N,3.23W
333,1876-10-01,24.959,1.228,Abidjan,Côte D'Ivoire,5.63N,3.23W
334,1876-11-01,25.252,1.288,Abidjan,Côte D'Ivoire,5.63N,3.23W
335,1876-12-01,25.253,1.147,Abidjan,Côte D'Ivoire,5.63N,3.23W
336,1877-01-01,25.845,1.636,Abidjan,Côte D'Ivoire,5.63N,3.23W
337,1877-02-01,26.925,1.555,Abidjan,Côte D'Ivoire,5.63N,3.23W
