"number","name","earnings","gold","silver","bronze","premier"
227,"PSV Esports","$17,897",2,4,0,0
228,"KV Mechelen Esports","$17,857",2,3,0,0
229,"Wind and Rain","$17,773",0,1,1,0
230,"Grow uP eSports","$17,689",0,2,0,0
231,"ES Sharks","$17,597",1,0,0,0
232,"FTV Esports","$17,299",0,0,0,0
233,"Freecs Challengers","$17,258",0,1,0,0
234,"mCon esports","$17,223",2,1,2,0
235,"Team MCES","$16,746",0,1,2,0
236,"SEM9","$16,500",0,0,0,0
237,"Team DPD","$16,433",0,2,0,0
238,"Bastille Legacy","$16,424",2,2,1,0
239,"Evil Geniuses Prodigies","$16,413",1,1,1,0
240,"Liberty","$16,373",0,2,1,0
241,"NVision Esports","$16,315",1,1,0,0
242,"Seorabeol Gaming","$16,246",1,0,0,0
243,"Team Aze","$16,140",3,3,0,0
244,"Cherry Esports","$16,128",0,0,0,0
245,"Winners","$16,116",0,1,1,0
245,"Wind and Rain Balkan","$16,116",1,0,1,0
247,"Diabolus Esports","$15,769",4,4,4,0
248,"Random 5","$15,384",1,0,0,0
249,"G2 Arctic","$15,326",0,2,0,0
250,"x25 eSports","$14,960",0,1,2,0
251,"MachiX","$14,959",0,3,0,0
252,"Joy Dream","$14,826",0,0,1,0
253,"Alpha Esports","$14,740",0,0,0,0
254,"Zero Tenacity","$14,521",1,1,0,0
255,"LOUD","$14,210",1,0,1,0
256,"Mysterious Monkeys.ESLM","$14,162",1,0,0,0
257,"eUnited","$14,000",0,2,0,0
258,"Redemption eSports Porto Alegre","$13,796",1,0,1,0
259,"Sprout","$13,509",0,0,1,0
260,"Raise Gaming","$13,143",0,1,1,0
261,"Valiance","$13,126",0,2,0,0
262,"YouthCrew Esports","$13,000",1,0,1,1
263,"WIN Esports","$12,978",0,1,0,0
264,"The Final Tribe","$12,606",1,1,0,0
265,"WiLD MultiGaming","$12,360",1,1,1,0
266,"Supernova","$12,250",3,1,0,0
267,"Dynasty","$12,197",2,2,4,0
268,"AGO Gaming","$11,901",1,1,1,0
269,"Cruzados Esports","$11,818",1,2,0,0
270,"Operation Kino","$11,732",0,0,3,0
271,"FALKN","$11,261",1,2,0,0
272,"Bombers","$11,250",1,0,0,0
273,"MAMMOTH Esports Club","$11,125",1,0,0,0
274,"Prodigy Esports","$11,002",0,1,0,0
275,"Echo Fox Academy","$11,000",0,1,0,0
276,"Team Forge","$10,952",1,1,0,0
277,"Szata Maga+6","$10,901",0,1,0,0
278,"EGN Esports","$10,858",3,3,1,0
279,"Rensga Esports","$10,580",0,1,0,0
280,"Undead Gaming","$10,560",2,1,0,0
281,"Luxury Esports","$10,467",1,0,0,0
282,"Arctic Gaming Mexico","$10,381",0,1,1,0
283,"MAD Lions Madrid","$10,375",0,1,0,0
284,"Capital Esports","$10,000",1,0,0,0
284,"Wildcard Gaming Red","$10,000",3,0,0,0
284,"Immortals Academy","$10,000",0,0,0,0
287,"OZ Gaming","$9,982",0,0,1,0
288,"KOVA Esports","$9,977",2,0,0,0
289,"Burst The Sky Esports","$9,837",0,0,1,0
290,"UTM Esports","$9,794",0,0,1,0
291,"DRX Academy","$9,752",2,2,0,0
292,"SolaFide Esports","$9,700",1,1,1,0
293,"Warthox","$9,657",6,1,0,0
294,"Mkers","$9,622",0,2,1,0
295,"E WIE EINFACH E-SPORTS","$9,399",1,0,0,0
296,"Team Kinguin","$9,013",1,0,0,0
297,"9z Team","$8,970",2,4,0,0
298,"Splyce Vipers","$8,910",1,0,0,0
299,"Granit Gaming","$8,878",0,2,0,0
300,"ahq e-Sports Club Korea","$8,857",0,0,0,0
301,"Greek Regenesis","$8,761",0,3,0,0
302,"Turing eSports","$8,738",1,0,0,0
303,"eNsure","$8,714",2,0,0,0
304,"NS RedForce Challengers","$8,629",0,0,1,0
305,"Afro Beast","$8,548",1,0,0,0
306,"Barrage Esports NA","$8,460",0,2,1,0
307,"DAMWON Challengers","$8,429",1,0,0,0
308,"ASURA","$8,380",0,0,0,0
309,"Red Bulls","$8,319",0,0,0,0
310,"T Show","$8,217",1,0,1,0
311,"Vipers Inc","$8,059",0,4,2,0
312,"nDurance Gaming","$8,037",0,0,0,0
313,"Tempo Storm","$8,000",0,0,0,0
313,"Golden Guardians","$8,000",0,1,0,0
315,"NYYRIKKI White","$7,976",0,3,0,0
316,"China","$7,834",1,1,1,0
317,"Macko Esports","$7,745",2,1,0,0
318,"SBTC Esports","$7,624",0,0,0,0
319,"Gen.G Academy","$7,549",4,0,0,0
319,"Paris Saint-Germain eSports","$7,549",0,0,0,0
321,"Nova Esports","$7,500",0,0,0,0
321,"BOOM Esports","$7,500",0,0,0,0
323,"Copenhagen Flames","$7,444",0,3,1,0
324,"Godsent","$7,353",0,0,0,0
325,"GameWard","$7,337",0,1,1,0
326,"Suning-S","$7,327",0,0,1,0
326,"Triumphant Song Gaming","$7,327",0,1,0,0
328,"Campus Party Sparks","$7,153",2,0,0,0
329,"T1 Academy","$7,146",3,3,0,0
330,"Beºiktaº Esports","$7,065",3,1,0,0
331,"DeToNator","$7,000",0,1,0,0
332,"Freecs Academy","$6,974",1,4,0,0
333,"Santos e-Sports","$6,878",2,0,0,0
334,"Vikings Gaming","$6,842",0,0,1,0
335,"Dusty","$6,821",0,0,1,0
336,"Sky Gaming","$6,594",0,0,1,0
337,"No Team","$6,563",1,0,0,0
338,"Resolve NA","$6,450",0,0,1,0
339,"Impunity","$6,380",0,0,0,0
340,"Fact Revolution","$6,367",1,0,1,0
341,"Globant Emerald Team","$6,340",2,0,0,0
342,"Shadow EK","$6,152",2,0,0,0
343,"UniQ Esports Club","$6,150",2,0,0,0
344,"Packa Pappas Kappsäck","$5,985",0,1,0,0
345,"ORDER","$5,979",0,2,1,0
346,"Atlando Esports","$5,841",0,0,0,0
347,"Intrepid Fox Gaming","$5,813",0,2,0,0
348,"Element Mystic","$5,774",0,0,0,0
349,"Iron Hawks e-Sports","$5,586",0,1,0,0
350,"Team THRLL","$5,322",0,0,2,0
351,"Shadow Battlica","$5,245",1,2,0,0
352,"Cream Real Betis","$5,119",0,1,1,0
353,"Phelan Gaming","$5,107",0,0,1,0
354,"Hyperion Esports","$5,093",0,0,1,0
355,"PRIDE","$5,089",0,0,0,0
356,"Nigma Galaxy EU","$5,087",1,1,0,0
357,"Sin Gaming","$5,069",0,0,2,0
358,"Runaway","$5,050",0,0,0,0
359,"Falkol","$5,009",0,0,0,0
360,"Istanbul Wildcats","$5,000",1,1,0,0
360,"Coscu Army","$5,000",2,0,0,0
362,"Team BDS","$4,746",1,0,1,0
363,"Zombie Unicorns","$4,662",1,0,0,0
364,"ASUS ROG Army","$4,648",0,0,1,0
365,"Nordavind Academy","$4,511",1,1,0,0
366,"GC Busan Rising Star","$4,481",0,0,0,0
367,"Flamengo Esports Academy","$4,453",2,0,0,0
368,"Iron Wolves","$4,412",1,1,1,0
369,"Moss Seven Club","$4,365",0,1,0,0
370,"Bifrost","$4,313",2,2,1,0
371,"Radiance","$4,300",0,0,1,0
372,"TNC Predator","$4,266",0,2,0,0
373,"Zoos Gaming","$4,250",0,1,1,0
374,"Brion Esports Challengers","$4,214",0,1,0,0
375,"Wis³a P³ock Esports","$4,175",0,0,0,0
376,"Team Phantasma","$4,156",1,2,1,0
377,"AS Trenèín eSports","$4,114",1,0,0,0
378,"ENCE","$4,110",0,0,0,0
379,"Sector One Black","$4,062",1,0,0,0
380,"ZHR Gaming","$4,028",0,1,0,0
381,"Unsold Stuff Gaming","$4,000",1,2,4,1
381,"Evilvice e-Sports","$4,000",0,0,0,0
381,"Chinese Taipei","$4,000",0,0,2,0
384,"Wildcard Gaming","$3,913",1,0,0,0
385,"Fox B","$3,821",2,0,0,0
386,"Aethra Esports","$3,782",0,0,2,0
387,"SINNERS Esports","$3,650",0,3,0,0
388,"KRC Genk Esports","$3,638",1,0,2,0
389,"Team Ascent","$3,604",0,1,0,0
390,"Brussels Guardians","$3,576",0,0,1,0
391,"Team BattleComics","$3,550",0,1,1,0
392,"Gamespace  E-Sports","$3,520",0,1,0,0
393,"RSCA Esports","$3,444",0,0,1,0
394,"XTEN Esports","$3,443",0,0,0,0
395,"Black Star Gaming","$3,429",0,0,0,0
396,"Dignitas Mirage","$3,400",0,0,1,0
397,"Hillerod eSport","$3,346",0,0,0,0
398,"Team Afro","$3,319",0,0,0,0
399,"S2V Esports","$3,304",0,0,0,0
400,"lvlUP Rhinos","$3,248",0,0,0,0
401,"F-Soul Esports","$3,247",0,0,1,0
402,"Hybrid Esports","$3,216",0,1,2,0
403,"Azules Esports","$3,186",1,0,0,0
404,"eXtatus","$3,177",0,1,0,0
405,"Cream Esports Mexico","$3,100",1,0,3,0
406,"BuzzKill","$3,060",0,1,0,0
407,"Samsung Morning Stars","$2,962",1,1,1,0
408,"Wind and Rain Germany","$2,944",0,0,0,0
409,"Hall of Fame","$2,884",0,0,0,0
410,"ToxicFalcons Belgium","$2,848",0,1,0,0
411,"OverPower Esports","$2,802",0,0,0,0
412,"FURIA Esports Academy","$2,761",0,1,0,0
413,"TrainHard eSport","$2,745",0,1,0,0
414,"YDN Esports","$2,743",1,0,0,0
415,"Nongshim RedForce Academy","$2,729",0,1,1,0
416,"Beºiktaº e-Sports Club Female","$2,677",1,1,0,0
417,"Hanwha Life Academy","$2,566",0,1,1,0
418,"ToxicFalcons","$2,504",1,0,0,0
419,"nerdRage","$2,474",0,0,1,0
420,"Team 7AM","$2,465",0,0,0,0
421,"Goskilla","$2,372",1,0,0,0
422,"PIGSPORTS","$2,307",1,0,0,0
423,"Miners.gg","$2,304",0,0,0,0
424,"Munster Rugby","$2,302",0,0,0,0
425,"Five Kings","$2,270",1,0,0,0
426,"Cyber Gaming","$2,131",0,1,2,0
427,"Valhalla Vikings","$2,120",1,0,1,0
428,"paiN Gaming Academy","$2,093",0,1,0,0
429,"Solwing Esports","$2,053",0,1,0,0
430,"Team PHZ","$2,039",1,0,1,0
431,"Munster Rugby Academy","$2,015",0,1,0,0
432,"PACT","$2,013",0,0,0,0
433,"Avant Gaming","$2,000",0,1,0,0
434,"SAMCLAN Esports Club","$1,961",1,1,2,0
435,"Astralis Talent","$1,916",0,0,1,0
436,"Jasny Gwint","$1,871",0,0,1,0
437,"SANDBOX Gaming Academy","$1,819",0,0,1,0
438,"KT Rolster Academy","$1,794",1,0,0,0
439,"Team BDS Academy","$1,787",0,1,0,0
440,"Vorax Liberty Academy","$1,781",0,0,0,0
441,"Sharks Esports","$1,760",0,0,0,0
442,"RED Academy","$1,745",0,0,0,0
443,"Kenty","$1,733",0,1,0,0
444,"mYinsanity","$1,729",1,0,0,0
445,"Pyrsos Esports","$1,671",0,0,1,0
445,"TimeOut Esports","$1,671",0,1,0,0
447,"Dragon Gate Team","$1,620",0,0,0,0
448,"Bogged","$1,600",0,0,0,0
449,"DIVIZON","$1,583",0,1,0,0
450,"Team Same Mordeczki","$1,542",0,0,0,0
451,"Vanir","$1,530",0,0,0,0
452,"Method2Madness","$1,483",0,1,0,0
453,"Team Fighter","$1,455",1,0,0,0
454,"Bulldog Esports","$1,319",0,0,0,0
455,"LOUD Academy","$1,299",0,0,0,0
456,"Rensga eSports Academy","$1,263",0,0,0,0
457,"Racoon","$1,199",0,2,1,0
458,"GOEXANIMO","$1,174",0,1,0,0
459,"Tony Parker Adequat Academy","$1,097",0,0,1,0
460,"Team Oplon","$1,024",2,1,0,0
461,"Anahuac Esports","$1,000",0,1,0,0
462,"Immortals AOE","$938",0,0,0,0
463,"Fortress Esports","$937",0,1,0,0
464,"Rascal Jester","$919",0,2,2,0
465,"Loto Gaming","$900",0,1,0,0
465,"Australs","$900",0,0,0,0
467,"WP Gaming","$851",0,0,0,0
467,"Submarino Stars","$851",0,0,0,0
469,"PANTHERS Gaming","$842",0,0,0,0
470,"Szef +6","$835",0,0,0,0
471,"Team Infamous","$814",0,0,0,0
472,"Galakticos","$812",0,0,1,0
473,"MAD Lions Mexico","$750",0,0,0,0
474,"KaBuM! e-Sports Academy","$743",0,0,0,0
475,"BloodRain-Gaming","$730",0,1,0,0
476,"Howling eSports","$711",0,0,0,0
477,"Dynamo Eclot","$694",0,0,3,0
478,"EBRO","$600",0,0,0,0
479,"Intergalaxy Tigers Gaming","$598",0,0,0,0
480,"DarkSpawn Esports","$592",0,0,0,0
481,"Indictive Esports","$591",0,0,0,0
481,"Esports Academy","$591",0,0,0,0
483,"CAZ eSports","$588",0,0,0,0
484,"OFFSET Esports","$586",0,0,2,0
485,"G2 Vodafone","$582",0,0,0,0
485,"eMonkeyz","$582",1,0,0,0
487,"Yellow Stripes","$572",0,1,0,0
488,"ASP Esports","$561",0,0,0,0
489,"S2V Female","$557",0,1,1,0
490,"DAMWON Gaming Academy","$510",0,0,0,0
491,"MJ-Esports","$456",0,0,2,0
492,"Sector One Academy","$421",0,0,0,0
493,"Legion Gaming","$393",0,0,0,0
494,"Miners.gg Academy","$386",0,0,0,0
495,"INTZ Academy","$371",0,0,0,0
496,"Hydras Esport","$342",0,0,0,0
496,"NYYRIKKI Blue","$342",0,0,0,0
498,"Nordic Fox Esport","$340",0,0,0,0
499,"Taco Gaming","$313",0,1,0,0
500,"KRÜ Esports","$301",0,0,0,0
